Spanish,English
sistema,system
nueva,new
importante,important
san,saint
toda,all
mientras,While
pues,then
centro,center
acuerdo,agreement
programa,Program
salud,Health
pasado,last
empresa,company
muchos,Many
fin,end
dentro,within
nivel,level
partido,match
servicios,services
casa,home
educación,education
servicio,service
seguridad,security
proceso,process
horas,hours
él,he
política,politics
tal,such
artículo,Article
universidad,University
historia,history
cosas,stuff
cualquier,any
sí,Yes
unos,some
participación,participation
estoy,am
jóvenes,youths
mujer,woman
cargo,post
primero,first
administración,administration
nuevos,new
hora,hour
cuales,which
ciento,hundred
comunicación,communication
especial,special
claro,Sure
pesos,pesos
espacio,space
estudios,studies
dios,God
nuevas,New ones
juego,play
mal,wrong
encuentra,find
cinco,five
mis,MIS
capital,capital
valor,value
seguir,continue
autoridades,authorities
podría,could
justicia,Justice
escuela,school
tuvo,had
mayoría,most
área,area
saber,to know
luis,Lewis
organización,organization
cuerpo,body
ministerio,ministry
acción,action
diciembre,December
largo,long
nadie,nobody
formación,training
encuentro,meeting
ir,to go
consejo,tip
actual,current
construcción,construction
vamos,we go
necesario,necessary
capacidad,capacity
acciones,Actions
noche,evening
hacen,make
ex,former
cabo,cape
estudiantes,students
idea,idea
minutos,minutes
debido,due
mayo,May
orden,order
campo,countryside
octubre,October
haya,is
presencia,presence
tarde,late
modo,mode
permite,It allows
podemos,we can
red,net
temas,topics
edad,age
tenía,I had
últimos,last.
federal,federal
anterior,previous
respuesta,answer
internet,Internet
ahí,there
puesto,Market Stall
cantidad,amount
usted,you
real,real
serie,Serie
existe,exists
próximo,next
dinero,money
dio,it gave
principal,principal
sería,would
materia,matter
libro,book
acceso,access
marco,frame
maría,Maria
alto,high
noviembre,November
calle,Street
siguiente,following
central,central
alumnos,students
web,Web
algún,some
posibilidad,possibility
modelo,model
grupos,Groups
medida,measure
soy,I am
quiere,wants
cierto,certain
futuro,future
análisis,analysis
mano,hand
humanos,humans
instituto,Institute
superior,higher
propio,own
señor,Mister
santa,Santa
favor,favor
municipio,municipality
cerca,close
tierra,Earth
políticas,Policies
programas,programs
ambiente,environment
oportunidad,chance
domingo,Sunday
economía,economy
crisis,crisis
marzo,March
mejores,top
interés,interest
etc.,etc.
conocimiento,knowledge
sigue,follow
necesidad,need
haciendo,doing
cosa,thing
unas,nails
serán,will be